Fields for repository,,,,,,,,,,,,
,,,AI Agent,AI Agent,,,Tool ratings - later,,,,,
File ID,Title,Category,Key words,Content,Published date,Version,Rating,Author,Organization,Format,Web address,
,2025-03-ai-bulletin,,"
Artificial Intelligence (AI)
PD Edge+
Learning Tracks
Actuarial
NAIC
Insurance Industry
Prompting
Large Language Models (LLMs)
Short-form Videos
Data Science"," This document provides updates from the Society of Actuaries (SOA) PD Edge+ platform, focusing on artificial intelligence (AI) learning tracks, NAIC activities related to AI in insurance, and practical tips for prompting Large Language Models (LLMs). It highlights the new AI learning track within PD Edge+, including an overview course and short-form videos covering topics like AI in actuarial work, ethical considerations, and AI tools. The document also notes the NAIC's interest in understanding the insurance industry's use of AI in areas like pricing, underwriting, and claims, and the data fueling these applications. Finally, it offers several tips for effective prompting of LLMs, including specifying desired output formats, indicating the intended use of the response, and refining generated content",3/25/2025,,,SOA,SOA,pdf,https://www.soa.org/4934b1/globalassets/assets/files/resources/research-report/2025/2025-03-ai-bulletin.pdf,
,"Literature Review: Artificial Intelligence
and Its Use in Actuarial Work",,"Artificial Intelligence (AI)
Actuarial Work
Machine Learning
Loss Reserving
Underwriting
Fraud Detection
Claims
Predictive Modeling
Data Analytics
Insurance"," This literature review report explores the transformative impact of Artificial Intelligence (AI) and Machine Learning on actuarial work, highlighting emerging technologies and providing a frame of reference for actuaries. The report is structured to cover various aspects, including an introduction to AI and its history, and specific applications within actuarial domains such as loss reserving, underwriting, and fraud & claims. It discusses the challenges in these areas and how AI methods can be utilized, often through case studies. The report also touches upon the benefits, drawbacks, and challenges of implementing AI in actuarial work. The research methodology involved reviewing articles and presentations, including those published in scientific journals, focusing on comprehensive descriptions of AI techniques in actuarial business cases. Actuaries were also contacted for insights into their firms' problem-solving using AI",,,,"icholas Yeo, Raymond Lai, Min Jyeh Ooi, Jie Yin Liew",SOA,pdf,https://www.soa.org/globalassets/assets/files/resources/research-report/2019/ai-actuarial-work.pdf,
,Operationalizing LLMs - A Guide for Actuaries,,"Large Language Models (LLMs)
Actuaries
Prompt Engineering
Retrieval Augmented Generation (RAG)
LLM Benchmarks
LLM Providers
Risk and Governance
Open Source LLMs
Closed Source LLMs
Operationalization","This guide provides a practical roadmap for actuaries to integrate Large Language Models (LLMs) into their work effectively and responsibly. It offers a high-level overview of the LLM landscape, including major providers like OpenAI, Anthropic, Meta, and Google. The report discusses how to evaluate and compare LLMs using benchmarks, emphasizing the limitations of general benchmarks and advocating for task-specific benchmarks. It explores the trade-offs between open-source and closed-source LLMs. The guide details techniques for leveraging LLMs, particularly prompt engineering and knowledge augmentation methods like Retrieval Augmented Generation (RAG). Finally, it provides a framework for understanding and managing the risks and governance considerations associated with LLM usage in actuarial practice",1/25/2025,,,Caesar Balona,SOA,pdf,https://www.soa.org/48ffb2/globalassets/assets/files/resources/research-report/2025/oper-genai-act-report.pdf,
,"Avoiding Unfair Bias in Insurance
Applications of AI Models",,"Unfair Bias
Artificial Intelligence (AI)
Insurance Models
Data Elements
Model Development Framework
Bias Detection
Bias Reduction
Actuarial Applications
Data Gathering
Ethical Considerations","This research paper focuses on the critical issue of unfair bias in AI models within the insurance industry. Its objectives include identifying data elements and types more likely to introduce bias, exploring strategies to reduce bias in existing and new AI applications, and establishing a general process for bias analysis. The paper acknowledges the wide variety of insurance products and data sources, emphasizing how different applications of AI can unintentionally introduce unfair bias. It presents a nine-step AI model development process and highlights areas where bias can be introduced, such as data population evaluation and inappropriate model training. The research also includes questions asked during interviews to understand how organizations define and test for unfair output in AI models",8/22/2025,,,"Logan T. Smith, Emma Pirchalski, Ilana Golbin",SOA,pdf,https://www.soa.org/4a288a/globalassets/assets/files/resources/research-report/2022/avoid-unfair-bias-ai.pdf,
,"Federated Learning for Insurance
Companies",,"Federated Learning (FL)
Privacy Preservation
Insurance Companies
Loss Modeling
Underwriting
Data Shortage
Collaboration
Horizontal Federated Learning (HFL)
Vertical Federated Learning (VFL)
Risk Management"," This report introduces federated learning (FL) as a privacy-preserving solution for collaboration in the insurance industry, particularly for enhancing machine learning models in areas like underwriting, loss modeling, reserving, and fraud detection. Traditional centralized data sharing poses challenges due to privacy concerns and the risk-averse nature of insurance companies. FL allows multiple parties (e.g., insurance companies) to train models collaboratively without sharing sensitive raw data, addressing data shortage and privacy issues. The report discusses different types of FL, such as horizontal FL (HFL) for companies with similar features and vertical FL (VFL) for those with different feature sets. It illustrates use cases in loss modeling and highlights potential applications in life and health sectors, such as refining longevity/mortality studies",2/24/2025,,," Panyi Dong, Zhiyu Quan, Tianyang Wang",SOA,pdf,https://www.soa.org/4916b8/globalassets/assets/files/resources/research-report/2024/federated-learning-insurance-companies.pdf,
,"Using Interpretable Machine Learning
Methods",,"Interpretable Machine Learning (IML)
Fraud Detection
Health Insurance
Feature Importance
Permutation Feature Importance (PFI)
SHAP (SHapley Additive exPlanations)
Model Interpretability
Black-box Models
Data Imbalance
Business Interpretation","This report establishes a framework for implementing interpretable machine learning (IML) techniques in the context of health insurance fraud detection. It addresses the issue of class imbalance in fraud detection datasets and mentions the use of data imbalance techniques during preprocessing. The framework is structured into data preprocessing & model training, and the application of IML techniques. The report focuses on feature importance methods, including Permutation Feature Importance (PFI) and SHapley Additive exPlanations (SHAP), to understand the impact of input variables on the prediction of fraudulent claims. It also explores local and global model-agnostic methods like LIME and surrogate models. A dedicated section interprets the results of feature importance in alignment with business logic",1/24/2025,,,"Satya Sai Mudigonda, Prof Pallav Kumar Baruah, Phani Krishna Kandala, Rohan Yashraj Gupta, Srinand N Hegde, Sumanth Chebrolu",SOA,,https://www.soa.org/48f4a5/globalassets/assets/files/resources/research-report/2024/interpretable-ml-methods.pdf,
,A Primer on Generative AI for Actuaries,,"Generative AI
Actuaries
Large Language Models (LLMs)
Productivity
Document Summarization
Model Documentation
Data Analysis
Scenario Analysis
Automation
Prompt Engineering"," This primer introduces generative AI to actuaries, outlining its potential benefits and various applications within the insurance industry. It covers applications for general productivity such as summarizing documents and drafting content, as well as more specific actuarial tasks like model documentation and governance, enriching, manipulating, and analyzing data, scenario analysis, and improvements in automation and efficiency. The primer also touches upon applications in claims and underwriting. It discusses practical considerations, including limitations, architectural aspects, and the importance of prompt engineering and RAG",2/24/2025,,,"Stephen Carlin, Stephan Mathys",SOA,pdf,https://www.soa.org/496313/globalassets/assets/files/resources/research-report/2024/primer-generative-ai.pdf,
,"Comparison of Regulatory Framework for
Non-Discriminatory AI Usage in Insurance",,"AI Regulation
Regulatory Framework
Insurance Industry
United States
European Union (EU)
China
Canada
NAIC
EIOPA
Cross-industry Regulation","This report provides a comparison of regulatory frameworks for Artificial Intelligence (AI) in the United States, European Union (EU), China, and Canada, with a specific focus on the insurance industry. It highlights the decentralized approach in the US, primarily through industry-specific regulations and state-level initiatives like the NAIC AI Bulletin and regulations in Colorado and New York. In contrast, the EU and China adopt more centralized, cross-industry approaches, with the EU AI Act representing a significant piece of legislation. Canada's approach is presented as a mix. The report touches upon relevant regulatory bodies like the NAIC and EIOPA and mentions specific regulations such as GDPR and DORA in the EU",8/24/2025,,,"David Schraub, Jing Lang, Zhibin Zhang, Mark A. Sayre",SOA,pdf,https://www.soa.org/4a1a8a/globalassets/assets/files/resources/research-report/2024/regulatory-framework-comparison-ai.pdf,
,"Exploring Nontraditional Data Sources for AI-Driven Mortality Modeling
and Forecasting",,"AI, mortality modeling, forecasting, nontraditional data sources, social media, wearable devices, environmental data, genetic data, electronic health records, data integration.","This essay discusses how AI is revolutionizing mortality modeling and forecasting by utilizing nontraditional data sources like social media, wearables, environmental data, genetics, mobile phones, and EHRs to improve accuracy beyond traditional statistical methods. The integration of these diverse data streams with AI algorithms allows for deeper insights into mortality risk factors. The essay also highlights the challenges of data quality and privacy that come with using these new sources",9/24/2025,,,Siyu Chen,SOA,pdf,https://www.soa.org/4a5e7a/globalassets/assets/files/resources/research-report/2024/impact-ai-mortality/2024-impact-ai-mort-essay-chen.pdf,
,"Artificial Intelligence and the Measurement and Projection of Mortality
Experience",,"Mortality statistics, cause of death, death certificates, reporting errors, electronic death registration systems (EDRS), artificial intelligence, medical records, public health, actuarial science, data quality.","This essay argues that AI could significantly improve the accuracy of cause-of-death reporting on death certificates in the US, which currently suffers from frequent errors. It suggests that AI-powered tools integrated with electronic death registration systems (EDRS) and electronic healthcare records could help identify inconsistencies and enhance data quality. This is presented as a potentially more effective approach than solely relying on improving physicians' certification practices",9/24/2025,,,David L. Driscoll,SOA,pdf,https://www.soa.org/4a5e7e/globalassets/assets/files/resources/research-report/2024/impact-ai-mortality/2024-impact-ai-mort-essay-driscoll.pdf,
,The Impact of Artificial Intelligence on Mortality Modeling and Actuaries,,"AI, mortality modeling, forecasting, nontraditional data sources, machine learning, data privacy, bias, interpretability, actuarial science, validation.","This essay explores the impact of AI on mortality modeling and the actuarial profession, emphasizing how AI and machine learning can leverage nontraditional data sources (EHRs, social media, wearables, environmental sensors) for more granular mortality insights. It also addresses the key risks and challenges associated with AI adoption, such as data privacy, bias, and interpretability, and stresses the importance of rigorous validation of AI models",9/24/2025,,,Niranjan Rajendran,SOA,pdf,https://www.soa.org/4a5e82/globalassets/assets/files/resources/research-report/2024/impact-ai-mortality/2024-impact-ai-mort-essay-rajendran.pdf,
,Improve Insurance Accessibility via Artificial Intelligence,,"AI, insurance, underwriting, pricing, mortality risk assessment, nontraditional data, machine learning, cancer, prediction, error quantification.",This essay proposes that AI can enhance insurance accessibility by enabling more precise mortality risk assessment through the use of new data and AI models. It uses the example of cancer patient mortality prediction to illustrate how AI can identify lower-risk individuals within high-risk groups. The essay also discusses the necessity of quantifying prediction errors for robust AI implementation in insurance underwriting and pricing,9/24/2025,,,Kailan Shang,SOA,pdf,https://www.soa.org/4a5e89/globalassets/assets/files/resources/research-report/2024/impact-ai-mortality/2024-impact-ai-mort-essay-shang.pdf,
,"Precision and Prediction: Leveraging Artificial Intelligence in Mortality
Modeling for Actuaries",,"AI, mortality modeling, forecasting, actuarial analysis, machine learning, deep learning, nontraditional data sources, prediction, data integration, pattern recognition","This essay details how AI can significantly enhance actuarial analysis of mortality data, introduce innovative forecasting methods, and leverage nontraditional data sources. It outlines various AI techniques like deep learning and NLP, and emphasizes the value of data from social media, wearables, and EHRs for achieving more accurate and personalized mortality predictions",9/24/2025,,,Tianyang Wang,SOA,pdf,https://www.soa.org/4a5e8d/globalassets/assets/files/resources/research-report/2024/impact-ai-mortality/2024-impact-ai-mort-essay-wang.pdf,
